[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s2 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf =====
  batch 10000/25650 | loss -9.5015 | eta 3.9 min [nsf p1 chunk 9/10]
  batch 11000/25650 | loss -9.5038 | eta 3.6 min [nsf p1 chunk 9/10]
  batch 12000/25650 | loss -9.5054 | eta 3.3 min [nsf p1 chunk 9/10]
  batch 13000/25650 | loss -9.5089 | eta 3.0 min [nsf p1 chunk 9/10]
  batch 14000/25650 | loss -9.5107 | eta 2.8 min [nsf p1 chunk 9/10]
  batch 15000/25650 | loss -9.5113 | eta 2.6 min [nsf p1 chunk 9/10]
  batch 16000/25650 | loss -9.5123 | eta 2.3 min [nsf p1 chunk 9/10]
  batch 17000/25650 | loss -9.5096 | eta 2.1 min [nsf p1 chunk 9/10]
  batch 18000/25650 | loss -9.5094 | eta 1.8 min [nsf p1 chunk 9/10]
  batch 19000/25650 | loss -9.5113 | eta 1.6 min [nsf p1 chunk 9/10]
  batch 20000/25650 | loss -9.5139 | eta 1.4 min [nsf p1 chunk 9/10]
  batch 21000/25650 | loss -9.5147 | eta 1.1 min [nsf p1 chunk 9/10]
  batch 22000/25650 | loss -9.5178 | eta 0.9 min [nsf p1 chunk 9/10]
  batch 23000/25650 | loss -9.5198 | eta 0.6 min [nsf p1 chunk 9/10]
  batch 24000/25650 | loss -9.5176 | eta 0.4 min [nsf p1 chunk 9/10]
  batch 25000/25650 | loss -9.5200 | eta 0.2 min [nsf p1 chunk 9/10]
[nsf|p1] chunk 9/10 | train -9.5221 | val -9.0528
  saved best (-9.0528) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -9.5863 | eta 6.0 min [nsf p1 chunk 10/10]
  batch 2000/25650 | loss -9.5661 | eta 5.7 min [nsf p1 chunk 10/10]
  batch 3000/25650 | loss -9.5643 | eta 5.5 min [nsf p1 chunk 10/10]
  batch 4000/25650 | loss -9.5736 | eta 5.3 min [nsf p1 chunk 10/10]
  batch 5000/25650 | loss -9.5693 | eta 5.0 min [nsf p1 chunk 10/10]
  batch 6000/25650 | loss -9.5700 | eta 4.8 min [nsf p1 chunk 10/10]
  batch 7000/25650 | loss -9.5734 | eta 4.5 min [nsf p1 chunk 10/10]
  batch 8000/25650 | loss -9.5717 | eta 4.3 min [nsf p1 chunk 10/10]
  batch 9000/25650 | loss -9.5718 | eta 4.0 min [nsf p1 chunk 10/10]
  batch 10000/25650 | loss -9.5734 | eta 3.8 min [nsf p1 chunk 10/10]
  batch 11000/25650 | loss -9.5790 | eta 3.6 min [nsf p1 chunk 10/10]
  batch 12000/25650 | loss -9.5761 | eta 3.3 min [nsf p1 chunk 10/10]
  batch 13000/25650 | loss -9.5765 | eta 3.1 min [nsf p1 chunk 10/10]
